Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,224372380,2878.5838505657034,3771409,48.38526489436063,343199,4625006,59.33648152401593,59503,0.7633933145434889,5756,
United States of America,Americas,40675578,12288.6,939266,283.76,0,653099,197.31,9748,2.94,0
India,South-East Asia,33264175,2410.44,236554,17.14,27254,442874,32.09,2122,0.15,219
Brazil,Americas,20989164,9874.49,111300,52.36,14314,586558,275.95,3196,1.5,712
The United Kingdom,Europe,7197666,10602.58,256051,377.18,28856,134144,197.6,983,1.45,156
Russian Federation,Europe,7140070,4892.66,127471,87.35,18554,192749,132.08,5549,3.8,788
France,Europe,6694766,10293.41,67461,103.72,9408,113537,174.57,545,0.84,44
Turkey,Europe,6636899,7869.31,158236,187.62,22923,59643,70.72,1806,2.14,259
Iran (Islamic Republic of),Eastern Mediterranean,5295786,6305.04,166379,198.09,20219,114311,136.1,3637,4.33,487
Argentina,Americas,5224534,11559.78,22129,48.96,930,113402,250.91,958,2.12,46
Colombia,Americas,4928578,9686.12,11598,22.79,1806,125592,246.83,362,0.71,63
Spain,Europe,4903021,10358.65,14763,31.19,0,85218,180.04,154,0.33,0
Italy,Europe,4601749,7715.68,35623,59.73,5191,129885,217.78,419,0.7,57
Indonesia,South-East Asia,4167511,1523.64,34078,12.46,0,138889,50.78,2416,0.88,0
Germany,Europe,4077640,4902.97,71999,86.57,7345,92606,111.35,260,0.31,8
Mexico,Americas,3506743,2719.82,85863,66.6,12511,267524,207.49,4656,3.61,675
Poland,Europe,2893649,7623.26,3165,8.34,476,75425,198.71,46,0.12,0
South Africa,Africa,2854234,4812.51,40220,67.81,5309,84751,142.9,1590,2.68,143
Ukraine,Europe,2316619,5297.1,19085,43.64,2196,54342,124.26,353,0.81,22
Philippines,Western Pacific,2227367,2032.62,146451,133.65,21411,35145,32.07,911,0.83,167
Peru,Americas,2160327,6552.03,6195,18.79,1021,198728,602.72,281,0.85,55
Malaysia,Western Pacific,1979698,6116.6,134863,416.68,19198,20711,63.99,2492,7.7,292
Netherlands,Europe,1968832,11310.2,17083,98.14,2245,18068,103.79,33,0.19,6
Iraq,Eastern Mediterranean,1950765,4849.94,33473,83.22,3554,21496,53.44,396,0.98,51
Czechia,Europe,1683179,15739.56,2615,24.45,253,30413,284.39,4,0.04,0
Chile,Americas,1644071,8600.41,2980,15.59,441,37232,194.77,142,0.74,31
Japan,Western Pacific,1639545,1296.32,68173,53.9,16454,16797,13.28,443,0.35,55
Canada,Americas,1538093,4075.27,22858,60.56,0,27170,71.99,153,0.41,0
Bangladesh,South-East Asia,1530413,929.27,13247,8.04,0,26931,16.35,303,0.18,0
Thailand,South-East Asia,1394756,1998.22,100234,143.6,12583,14485,20.75,1443,2.07,132
Belgium,Europe,1205516,10462.33,9131,79.25,0,25454,220.91,39,0.34,0
Pakistan,Eastern Mediterranean,1204520,545.3,25215,11.42,3153,26720,12.1,545,0.25,58
Israel,Europe,1168448,13499.42,54648,631.36,10084,7338,84.78,142,1.64,7
Sweden,Europe,1138017,11019.19,6468,62.63,0,14703,142.37,3,0.03,0
Romania,Europe,1120804,5798.61,14796,76.55,2255,34990,181.02,259,1.34,29
Portugal,Europe,1054673,10243.61,8816,85.63,1223,17853,173.4,68,0.66,10
Kazakhstan,Europe,912241,4858.37,28017,149.21,3845,14423,76.81,691,3.68,0
Morocco,Eastern Mediterranean,904647,2450.92,23605,63.95,1953,13546,36.7,553,1.5,58
Hungary,Europe,814732,8339.52,1692,17.32,0,30086,307.96,25,0.26,0
Serbia,Europe,811909,11721.43,34986,505.09,5461,7520,108.57,162,2.34,27
Jordan,Eastern Mediterranean,807384,7913.1,7144,70.02,883,10548,103.38,85,0.83,6
Switzerland,Europe,804575,9296.48,12853,148.51,0,10519,121.54,33,0.38,0
Nepal,South-East Asia,777163,2667.29,6404,21.98,0,10949,37.58,91,0.31,0
Cuba,Americas,745202,6579.21,55528,490.24,8034,6299,55.61,596,5.26,80
United Arab Emirates,Eastern Mediterranean,728886,7369.63,5623,56.85,620,2062,20.85,16,0.16,0
Austria,Europe,704757,7917.67,13822,155.28,2431,10623,119.35,37,0.42,5
Tunisia,Eastern Mediterranean,685019,5796.1,9828,83.16,0,24205,204.8,359,3.04,0
Greece,Europe,613838,5726.87,14543,135.68,2190,14141,131.93,298,2.78,39
Lebanon,Eastern Mediterranean,613498,8988.4,6962,102,785,8192,120.02,103,1.51,11
Viet Nam,Western Pacific,613375,630.15,89068,91.5,12026,15279,15.7,2205,2.27,261
Georgia,Europe,580869,14561.13,16032,401.89,1838,8185,205.18,379,9.5,39
Saudi Arabia,Eastern Mediterranean,545992,1568.32,749,2.15,80,8623,24.77,44,0.13,6
Guatemala,Americas,509654,2844.75,21756,121.44,0,12665,70.69,400,2.23,0
Ecuador,Americas,505262,2863.8,1495,8.47,187,32444,183.89,93,0.53,79
Belarus,Europe,501166,5303.72,12203,129.14,1887,3905,41.33,79,0.84,12
Bolivia (Plurinational State of),Americas,494664,4237.67,2155,18.46,0,18582,159.19,75,0.64,14
Costa Rica,Americas,489784,9614.7,15121,296.83,0,5754,112.95,161,3.16,0
Sri Lanka,South-East Asia,485922,2269.26,19973,93.27,0,11296,52.75,976,4.56,0
Bulgaria,Europe,470835,6773.16,9290,133.64,909,19469,280.07,386,5.55,10
Panama,Americas,462010,10707.65,2491,57.73,420,7131,165.27,50,1.16,9
Paraguay,Americas,459257,6438.9,413,5.79,50,16097,225.68,108,1.51,64
Azerbaijan,Europe,455044,4487.98,15482,152.69,0,6031,59.48,231,2.28,0
Myanmar,South-East Asia,431833,793.67,13862,25.48,0,16530,30.38,545,1,0
Kuwait,Eastern Mediterranean,410784,9618.95,514,12.04,50,2431,56.92,8,0.19,1
Slovakia,Europe,398690,7304.86,2610,47.82,412,12558,230.09,9,0.16,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,397573,7793.39,14428,282.82,0,4067,79.72,72,1.41,0
Uruguay,Americas,386562,11128.15,1005,28.93,152,6039,173.85,5,0.14,2
Croatia,Europe,383108,9440.42,5270,129.86,1162,8427,207.66,57,1.4,14
Ireland,Europe,365313,7358.59,9709,195.57,1466,5155,103.84,43,0.87,0
Dominican Republic,Americas,352762,3251.89,1024,9.44,0,4014,37,2,0.02,0
Denmark,Europe,351929,6044.02,3582,61.52,376,2611,44.84,21,0.36,3
Honduras,Americas,350879,3542.58,7072,71.4,0,9319,94.09,296,2.99,0
Venezuela (Bolivarian Republic of),Americas,346755,1219.43,7500,26.38,1195,4192,14.74,106,0.37,13
Libya,Eastern Mediterranean,323930,4714.25,8512,123.88,1443,4427,64.43,104,1.51,17
Ethiopia,Africa,322737,280.73,9269,8.06,950,4907,4.27,176,0.15,23
Lithuania,Europe,308464,11039.87,5840,209.01,842,4688,167.78,81,2.9,19
Oman,Eastern Mediterranean,303105,5935.52,437,8.56,69,4089,80.07,14,0.27,2
Egypt,Eastern Mediterranean,292957,286.27,2930,2.86,481,16871,16.49,82,0.08,11
Slovenia,Europe,276174,13177.11,5867,279.93,559,4793,228.69,5,0.24,0
Republic of Moldova,Europe,274599,6807.18,4613,114.35,681,6507,161.31,81,2.01,15
Republic of Korea,Western Pacific,274415,535.24,12638,24.65,1433,2360,4.6,33,0.06,1
Bahrain,Eastern Mediterranean,273743,16087.62,735,43.2,121,1388,81.57,0,0,0
Armenia,Europe,248850,8397.92,3825,129.08,453,5002,168.8,91,3.07,7
Kenya,Africa,243456,452.76,3764,7,511,4902,9.12,145,0.27,6
Mongolia,Western Pacific,240938,7349.5,8430,257.15,0,976,29.77,19,0.58,0
Qatar,Eastern Mediterranean,234509,8139.7,942,32.7,165,604,20.96,2,0.07,0
Bosnia and Herzegovina,Europe,221544,6752.71,4729,144.14,908,10016,305.29,143,4.36,21
Zambia,Africa,207836,1130.53,808,4.4,140,3629,19.74,18,0.1,3
Algeria,Africa,199822,455.68,2163,4.93,262,5558,12.67,185,0.42,19
Nigeria,Africa,198705,96.39,5061,2.46,466,2591,1.26,103,0.05,3
North Macedonia,Europe,183059,8786.64,3472,166.65,609,6236,299.32,191,9.17,22
Kyrgyzstan,Europe,177158,2715.4,685,10.5,75,2572,39.42,22,0.34,3
Puerto Rico,Americas,176790,6179.63,2807,98.12,462,2998,104.79,79,2.76,3
Norway,Europe,173344,3229.46,6026,112.27,0,827,15.41,5,0.09,0
Uzbekistan,Europe,164364,491.09,4493,13.42,594,1153,3.44,41,0.12,5
Botswana,Africa,163665,6959.65,4348,184.89,0,2325,98.87,49,2.08,0
Kosovo[1],Europe,156535,8717.38,5299,295.1,583,2762,153.81,167,9.3,14
Albania,Europe,156162,5426.44,6061,210.61,869,2539,88.23,27,0.94,4
Afghanistan,Eastern Mediterranean,154094,395.84,560,1.44,104,7169,18.42,28,0.07,2
Mozambique,Africa,149088,477,1303,4.17,187,1892,6.05,20,0.06,0
Latvia,Europe,146800,7695.23,2282,119.62,419,2607,136.66,22,1.15,5
Estonia,Europe,146707,11039.1,2919,219.64,329,1312,98.72,11,0.83,2
Finland,Europe,133638,2418.66,3536,64,976,1039,18.8,0,0,0
Zimbabwe,Africa,126220,849.23,795,5.35,57,4536,30.52,79,0.53,4
Namibia,Africa,126203,4966.85,709,27.9,178,3431,135.03,187,7.36,5
China,Western Pacific,123544,8.4,313,0.02,66,5687,0.39,2,0,0
Ghana,Africa,122779,395.13,2327,7.49,0,1087,3.5,35,0.11,0
Montenegro,Europe,121348,19321.02,3709,590.55,628,1792,285.32,44,7.01,7
Cyprus,Europe,117831,13269.18,1210,136.26,136,528,59.46,15,1.69,1
Uganda,Africa,99701,217.97,0,0,0,3031,6.63,0,0,0
Cambodia,Western Pacific,99504,595.16,4204,25.15,662,2040,12.2,83,0.5,12
El Salvador,Americas,98122,1512.78,2055,31.68,0,3022,46.59,61,0.94,9
Rwanda,Africa,92393,713.34,3711,28.65,368,1164,8.99,59,0.46,6
Cameroon,Africa,84210,317.22,0,0,0,1357,5.11,0,0,0
Maldives,South-East Asia,82822,15321.97,723,133.75,0,227,41.99,0,0,0
Luxembourg,Europe,76632,12239.42,474,75.71,0,834,133.2,4,0.64,0
Jamaica,Americas,75857,2561.73,4513,152.41,560,1731,58.46,112,3.78,27
Australia,Western Pacific,73605,288.65,11999,47.06,1673,1091,4.28,52,0.2,7
Senegal,Africa,73440,438.61,336,2.01,49,1828,10.92,43,0.26,2
Singapore,Western Pacific,71687,1225.35,3027,51.74,520,58,0.99,3,0.05,0
Malawi,Africa,61098,319.38,360,1.88,46,2236,11.69,41,0.21,4
Côte d’Ivoire,Africa,57784,219.06,1049,3.98,186,506,1.92,51,0.19,11
Democratic Republic of the Congo,Africa,56215,62.77,908,1.01,33,1068,1.19,7,0.01,0
Réunion,Africa,51651,5769.05,1305,145.76,0,354,39.54,12,1.34,0
Angola,Africa,50348,153.19,1873,5.7,405,1327,4.04,79,0.24,5
Guadeloupe,Americas,49515,12374.91,0,0,0,606,151.45,0,0,0
Fiji,Western Pacific,48986,5464.47,1121,125.05,128,535,59.68,27,3.01,0
Trinidad and Tobago,Americas,46995,3358.01,1508,107.75,260,1368,97.75,43,3.07,9
Eswatini,Africa,44831,3864.2,697,60.08,54,1169,100.76,37,3.19,2
French Polynesia,Western Pacific,43711,15560.61,1602,570.29,0,551,196.15,71,25.28,0
Madagascar,Africa,42873,154.83,0,0,0,956,3.45,0,0,0
Martinique,Americas,39373,10492.05,1175,313.11,0,556,148.16,69,18.39,0
Sudan,Eastern Mediterranean,37951,86.55,78,0.18,14,2829,6.45,38,0.09,38
French Guiana,Americas,36859,12340.55,1138,381.01,0,227,76,6,2.01,0
Malta,Europe,36708,7133.81,282,54.8,34,447,86.87,5,0.97,1
Cabo Verde,Africa,36519,6568.32,895,160.97,92,320,57.56,6,1.08,0
Mauritania,Africa,34771,747.82,660,14.19,79,749,16.11,19,0.41,2
Suriname,Americas,33076,5638.29,2541,433.15,312,761,129.72,26,4.43,5
Guinea,Africa,30001,228.44,396,3.02,14,365,2.78,24,0.18,2
Syrian Arab Republic,Eastern Mediterranean,29358,167.75,935,5.34,138,2071,11.83,38,0.22,6
Guyana,Americas,27782,3532.13,1487,189.05,481,674,85.69,34,4.32,15
Gabon,Africa,26638,1196.82,750,33.7,0,170,7.64,5,0.22,0
Togo,Africa,23618,285.29,1638,19.79,168,205,2.48,15,0.18,1
Haiti,Americas,21178,185.73,54,0.47,0,591,5.18,3,0.03,0
Seychelles,Africa,20593,20939.12,363,369.1,0,106,107.78,3,3.05,0
Mayotte,Africa,20015,7336.47,140,51.32,0,175,64.15,0,0,0
Benin,Africa,19841,163.66,3909,32.24,0,141,1.16,10,0.08,0
Bahamas,Americas,19335,4916.79,482,122.57,0,453,115.2,14,3.56,0
Timor-Leste,South-East Asia,18515,1404.31,817,61.97,0,95,7.21,13,0.99,0
Papua New Guinea,Western Pacific,18412,205.79,147,1.64,8,196,2.19,4,0.04,0
Somalia,Eastern Mediterranean,18373,115.6,647,4.07,0,1023,6.44,26,0.16,0
Tajikistan,Europe,17464,183.11,101,1.06,0,125,1.31,0,0,0
Belize,Americas,17405,4377.21,655,164.73,0,373,93.81,10,2.51,0
Lao People's Democratic Republic,Western Pacific,17357,238.57,1424,19.57,217,16,0.22,0,0,0
Curaçao,Americas,15596,9504.37,217,132.24,0,153,93.24,6,3.66,0
Andorra,Europe,15083,19521.13,28,36.24,0,130,168.25,0,0,0
Aruba,Americas,14991,14040.99,272,254.76,0,154,144.24,6,5.62,0
Mali,Africa,14982,73.98,72,0.36,4,543,2.68,4,0.02,0
Lesotho,Africa,14395,671.96,0,0,0,403,18.81,0,0,0
Burundi,Africa,14189,119.33,1119,9.41,0,12,0.1,2,0.02,0
Burkina Faso,Africa,13929,66.64,102,0.49,23,171,0.82,0,0,0
Congo,Africa,13701,248.29,113,2.05,0,183,3.32,0,0,0
Mauritius,Africa,13289,1044.92,1545,121.48,0,43,3.38,11,0.86,0
Djibouti,Eastern Mediterranean,11860,1200.4,83,8.4,15,157,15.89,0,0,0
South Sudan,Africa,11610,103.72,93,0.83,4,120,1.07,0,0,0
Guam,Western Pacific,11378,6741.52,812,481.11,0,159,94.21,8,4.74,0
Central African Republic,Africa,11309,234.15,13,0.27,0,100,2.07,0,0,0
Iceland,Europe,11234,3085.13,202,55.47,35,33,9.06,0,0,0
Equatorial Guinea,Africa,10498,748.26,1021,72.77,214,131,9.34,5,0.36,2
Gambia,Africa,9848,407.5,112,4.63,28,328,13.57,5,0.21,0
Saint Lucia,Americas,9823,5349.43,798,434.58,296,132,71.88,16,8.71,0
Nicaragua,Americas,9732,146.91,449,6.78,0,201,3.03,1,0.02,0
